date,series,value
1975-12-01,T1,697458.0
1976-01-01,T1,1187650.0
1976-02-01,T1,1069690.0
1976-03-01,T1,1078430.0
1976-04-01,T1,1059910.0
1976-05-01,T1,1058020.0
1976-06-01,T1,512728.0
1976-07-01,T1,884901.0
1976-08-01,T1,905529.0
1976-09-01,T1,617722.0
1976-10-01,T1,410292.0
1976-11-01,T1,854875.0
1976-12-01,T1,652371.0
1977-01-01,T1,937352.0
1977-02-01,T1,1513480.0
1977-03-01,T1,1138080.0
1977-04-01,T1,687150.0
1977-05-01,T1,1366120.0
1977-06-01,T1,1083180.0
1977-07-01,T1,1375330.0
1977-08-01,T1,456139.0
1977-09-01,T1,1243690.0
1977-10-01,T1,922653.0
1977-11-01,T1,848388.0
1977-12-01,T1,861378.0
1978-01-01,T1,1459230.0
1978-02-01,T1,1782530.0
1978-03-01,T1,1331670.0
1978-04-01,T1,1672240.0
1978-05-01,T1,1266130.0
1978-06-01,T1,1290270.0
1978-07-01,T1,1926500.0
1978-08-01,T1,843637.0
1978-09-01,T1,1330520.0
1978-10-01,T1,1394260.0
1978-11-01,T1,950071.0
1978-12-01,T1,675046.0
1979-01-01,T1,2196870.0
1979-02-01,T1,1330660.0
1979-03-01,T1,894202.0
1979-04-01,T1,1972540.0
1979-05-01,T1,1656590.0
1979-06-01,T1,1179180.0
1979-07-01,T1,1939450.0
1979-08-01,T1,630177.0
1979-09-01,T1,913313.0
1979-10-01,T1,1617990.0
1979-11-01,T1,622073.0
1979-12-01,T1,915206.0
1980-01-01,T1,1282970.0
1980-02-01,T1,1267910.0
1980-03-01,T1,1206720.0
1980-04-01,T1,1406860.0
1980-05-01,T1,688207.0
1980-06-01,T1,516501.0
1980-07-01,T1,1378010.0
1980-08-01,T1,840271.0
1980-09-01,T1,437741.0
1980-10-01,T1,556951.0
1980-11-01,T1,700000.0
1975-07-01,T2,61.61
1975-08-01,T2,66.74
1975-09-01,T2,71.88
1975-10-01,T2,82.15
1975-11-01,T2,87.28
1975-12-01,T2,107.82
1976-01-01,T2,128.35
1976-02-01,T2,159.16
1976-03-01,T2,78.0
1976-04-01,T2,93.93
1976-05-01,T2,100.26
1976-06-01,T2,108.02
1976-07-01,T2,90.16
1976-08-01,T2,70.46
1976-09-01,T2,57.66
1976-10-01,T2,70.08
1976-11-01,T2,69.99
1976-12-01,T2,75.16
1977-01-01,T2,85.65
1977-02-01,T2,120.6
1977-03-01,T2,176.48
1977-04-01,T2,199.18
1977-05-01,T2,200.92
1977-06-01,T2,204.42
1977-07-01,T2,186.96
1977-08-01,T2,136.28
1977-09-01,T2,111.82
1977-10-01,T2,99.59
1977-11-01,T2,101.34
1977-12-01,T2,97.84
1978-01-01,T2,97.85
1978-02-01,T2,97.85
1978-03-01,T2,101.34
1978-04-01,T2,103.08
1978-05-01,T2,104.83
1978-06-01,T2,106.58
1978-07-01,T2,100.21
1978-08-01,T2,106.17
1978-09-01,T2,104.83
1978-10-01,T2,101.81
1978-11-01,T2,99.84
1978-12-01,T2,102.81
1979-01-01,T2,100.69
1979-02-01,T2,99.47
1979-03-01,T2,98.08
1979-04-01,T2,100.29
1979-05-01,T2,103.19
1979-06-01,T2,102.57
1979-07-01,T2,103.98
1979-08-01,T2,99.05
1979-09-01,T2,99.17
1979-10-01,T2,106.21
1979-11-01,T2,107.26
1979-12-01,T2,104.78
1980-01-01,T2,104.72
1980-02-01,T2,104.68
1980-03-01,T2,99.69
1980-04-01,T2,99.81
1980-05-01,T2,99.83
1980-06-01,T2,103.49
1980-07-01,T2,104.82
1980-08-01,T2,104.82
1980-09-01,T2,104.53
1980-10-01,T2,98.58
1980-11-01,T2,98.58
1980-12-01,T2,98.58
1981-01-01,T2,98.58
1981-02-01,T2,92.34
1981-03-01,T2,96.09
1981-04-01,T2,96.09
1981-05-01,T2,99.81
1981-06-01,T2,98.54
1981-07-01,T2,104.82
1981-08-01,T2,104.82
1981-09-01,T2,104.82
1981-10-01,T2,104.82
1981-11-01,T2,107.32
1981-12-01,T2,107.32
1982-01-01,T2,104.72
1982-02-01,T2,99.79
1982-03-01,T2,101.08
1982-04-01,T2,101.08
1982-05-01,T2,100.4
1982-06-01,T2,100.02
1982-07-01,T2,97.59
1982-08-01,T2,98.54
1982-09-01,T2,101.0
1982-10-01,T2,100.92
1982-11-01,T2,95.7
1982-12-01,T2,94.66
1983-01-01,T2,97.14
1983-02-01,T2,95.16
1983-03-01,T2,98.64
1983-04-01,T2,98.45
1983-05-01,T2,92.15
1983-06-01,T2,101.21
1983-07-01,T2,111.46
1983-08-01,T2,115.23
1983-09-01,T2,120.72
1983-10-01,T2,127.68
1983-11-01,T2,124.2
1983-12-01,T2,124.18
1984-01-01,T2,123.84
1984-02-01,T2,131.1
1984-03-01,T2,125.26
1984-04-01,T2,121.02
1984-05-01,T2,119.56
1984-06-01,T2,119.31
1984-07-01,T2,137.35
1984-08-01,T2,152.05
1984-09-01,T2,161.14
1984-10-01,T2,151.96
1984-11-01,T2,186.11
